"Title","location","Time period","has beginning","has end","Basic reproduction number","Has value","Confidence interval (95%)","Lower confidence limit","Upper confidence limit","Method","Approaches"
"The early phase of the COVID-19 outbreak in Lombardy, Italy - Contribution 1","Lombardy, Italy","Time interval","2020-01-14","2020-03-08","Basic reproduction number estimate value specification","3.1","Confidence interval (95%)","2.9","3.2","",""
"Transmission potential of COVID-19 in Iran - Contribution 1","Iran","Time interval","2020-02-19","2020-02-29","Basic reproduction number estimate value specification","3.6","Confidence interval (95%)","3.4","4.2","generalized growth model",""
"Transmission potential of COVID-19 in Iran - Contribution 2","Iran","Time interval","2020-02-19","2020-02-29","Basic reproduction number estimate value specification","3.58","Confidence interval (95%)","1.29","8.46","based on the calculation of the epidemic's doubling times: estimated epidemic doubling time of 1.20 (95% CI, 1.05, 1.44) days",""
"Estimating the generation interval for COVID-19 based on symptom onset data - Contribution 1","Singapore","Time interval","2020-01-21","2020-02-26","Basic reproduction number estimate value specification","1.27","Confidence interval (95%)","1.19","1.36","generation interval",""
"Estimating the generation interval for COVID-19 based on symptom onset data - Contribution 2","Singapore","Time interval","2020-01-21","2020-02-26","Basic reproduction number estimate value specification","1.25","Confidence interval (95%)","1.17","1.34","serial interval",""
"Estimating the generation interval for COVID-19 based on symptom onset data - Contribution 3","Tianjin, China","Time interval","2020-01-14","2020-02-27","Basic reproduction number estimate value specification","1.59","Confidence interval (95%)","1.42","1.78","generation interval",""
"Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak - Contribution 1","mainland China","Time interval","2019-12-01","2020-01-24","Basic reproduction number estimate value specification","2.56","Confidence interval (95%)","2.49","2.63","Modelled the epidemic curve of 2019-nCoV cases through the exponential growth. Determined the number of unreported cases by the maximum likelihood estimation. Used the serial intervals (SI) of infection caused by two other well-known coronaviruses (CoV), Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS) CoVs, as approximations of the unknown SI for 2019-nCoV to estimate R0",""
"Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions - Contribution 1","China, Singapore","Time interval","2020-01-15","2020-01-20","Basic reproduction number estimate value specification","6.47","Confidence interval (95%)","5.71","7.23","Model-based method for estimation",""
"Estimation of the epidemic properties of the 2019 novel coronavirus: A mathematical modeling study - Contribution 1","Wuhan City, China","Time interval","2020-01-10","2020-01-23","Basic reproduction number estimate value specification","4.38","Confidence interval (95%)","3.63","5.13","a weighted average of Exponential growth, Maximum likelihood, Sequential Bayesian, Time-dependent reproduction numbers, and SEIR model basic reproduction numbers by calculating weights from a Poisson loss function",""
"Estimation of the epidemic properties of the 2019 novel coronavirus: A mathematical modeling study - Contribution 2","Wuhan City, China","Time interval","2020-01-23","2020-02-08","Basic reproduction number estimate value specification","3.41","Confidence interval (95%)","3.16","3.65","a weighted average of Exponential growth, Maximum likelihood, Sequential Bayesian, Time-dependent reproduction numbers, and SEIR model basic reproduction numbers by calculating weights from a Poisson loss function",""
